Unnamed: 0,title,author
269,"지적 대화를 위한 넓고 얕은 지식 : 지혜를 찾아 138억 년을 달리는 시간 여행서. 0, 모든 지식의 시작, 모든 지식의 완성",채사장
270,"지적 대화를 위한 넓고 얕은 지식 : 한 권으로 현실을 통달하는 지식 여행서. 1, 현실: 역사·경제·정치·사회·윤리",채사장
271,"지적 대화를 위한 넓고 얕은 지식 ; 한 권으로 현실 너머를 통찰하는 지식 여행서. 2, 현실 너머: 철학·과학·예술·종교·신비",채사장
272,꽃샘바람에 흔들린다면 너는 꽃 : 류시화 시집,류시화
273,그림들 : 모마 미술관 도슨트북,SUN 도슨트
274,생각이 너무 많은 서른 살에게 : 25년간 세계 최고의 인재들과 일하며 배운 것들,김은주
275,감정 어휘 : 모호한 감정을 선명하게 밝혀 내 삶을 살게 해주는 말 공부,유선경
276,(나를 숨 쉬게 하는) 보통의 언어들,김이나
277,계절의 위로 : 오늘을 살리는 빛의 문장들,서은
278,반야심경 마음공부,페이융
279,초등 매일 독서의 힘 : 읽는 중학생을 만드는 초등의 책 읽기,이은경
280,마이너 필링스 : 이 감정들은 사소하지 않다,캐시 박 홍
281,나는 당신이 경매공부를 시작했으면 좋겠습니다,투자N
282,바늘과 가죽의 시(詩) : 구병모 소설,구병모
283,백조와 박쥐 : 히가시노 게이고 장편소설,히가시노 게이고
284,"내 몸이 예전 같지 않을 때 읽는 책 : 서울대 체대, 의대 교수가 말하는 최강의 컨디션 회복법",김유겸
285,설레는 건 많을수록 좋아,김옥선
286,부의 시나리오 : 불확실성을 기회로 만드는 4가지 투자전략,오건영
287,바이러스 X : 김진명 장편소설,김진명
288,음악의 언어 : 흐르는 시간에서 음표를 건져 올리는 법,송은혜
289,나는 나답게 살기로 했다,손힘찬
290,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키
291,테라피스트 : B.A.패리스 장편소설,B. A. 패리스
292,모든 사람에게 사랑받을 필요는 없다,이평
293,돈의 심리학 : 당신은 왜 부자가 되지 못했는가,모건 하우절
294,완벽한 아이 : 무엇으로도 가둘 수 없었던 소녀의 이야기,모드 쥘리앵
295,영어회화 100일의 기적 : 일상생활 표현으로 진짜 영어를 말한다!. 2,문성현
296,그냥 하지 말라 : 당신의 모든 것이 메시지다,송길영
297,노마드랜드,제시카 브루더
298,단정한 반복이 나를 살릴 거야,봉현
299,마음의 법칙 : 사람의 마음을 사로잡는 51가지 심리학,폴커 키츠
